"granularity","RX_position","TX_position","total_packets","csi_packets_used","Processing_time","memory_usage(GB)","true_phi","true_theta","top_aoa_phi","top_aoa_theta","top_aoa_confidence","top_aoa_total_error","top_aoa_error_phi","top_aoa_error_theta","closest_aoa_phi","closest_aoa_theta","closest_aoa_confidence","closest_aoa_total_error","closest_aoa_phi_error","closest_theta_error"
"360x180","P9","P0",9,0,965,806.00,4.83,12.48,-139.70,78.64       ,-177.99,25.14,9.72,65.80,38.30,53.50,    -159.94,135.75,7.48,20.25,20.25,-57.11
"360x180","P9","P0",965,822.00,4.91,12.77,-139.82,78.66       ,6.52,171.96,6.68,173.54,-146.33,-93.29,    -142.90,176.98,5.17,3.08,3.08,-98.32
"360x180","P9","P0",965,800.00,4.85,12.77,-139.76,78.66       ,-19.55,172.96,6.47,152.78,-120.20,-94.30,    -160.95,123.69,5.00,21.19,21.19,-45.03
"360x180","P9","P0",965,751.00,4.52,12.77,-139.64,78.65       ,174.99,22.12,6.66,72.48,45.37,56.53,    -165.96,146.82,5.16,26.32,26.32,-68.17
"360x180","P9","P0",965,779.00,4.73,12.77,-139.61,78.65       ,57.66,142.79,7.71,174.92,162.73,-64.14,    -159.94,62.35,5.97,20.34,20.34,16.31
"360x180","P10","P0",965,821.00,4.91,12.66,-96.45,73.54       ,180.00,172.96,9.65,129.87,83.55,-99.43,    -95.77,110.61,7.45,-0.69,-0.69,-37.08
"360x180","P10","P0",965,832.00,4.95,12.89,-96.87,73.49       ,-90.75,126.70,17.63,53.56,-6.12,-53.21,    -94.76,63.35,13.26,-2.10,-2.10,10.14
"360x180","P10","P0",965,833.00,4.97,13.00,-96.60,73.44       ,-89.75,127.71,14.63,54.70,-6.86,-54.27,    -92.76,60.34,11.08,-3.85,-3.85,13.11
"360x180","P10","P0",965,836.00,4.99,13.13,-96.98,73.45       ,-90.75,126.70,14.83,53.62,-6.23,-53.25,    -99.78,78.44,10.60,2.79,2.79,-4.99
"360x180","P10","P0",965,828.00,4.93,13.13,-96.72,73.56       ,-90.75,127.71,10.54,54.47,-5.97,-54.15,    -98.77,113.63,7.92,2.05,2.05,-40.07
"180x90","P1","P0",965,829.00,1.26,3.49,4.77,71.71       ,-5.03,64.72,14.71,12.04,9.80,6.99,    1.01,105.17,11.19,3.77,3.77,-33.46
"180x90","P1","P0",965,822.00,1.25,3.57,4.81,71.74       ,-3.02,113.26,12.09,42.25,7.83,-41.52,    9.05,76.85,9.30,-4.24,-4.24,-5.11
"180x90","P1","P0",965,827.00,1.25,3.68,4.72,71.63       ,9.05,80.90,16.91,10.22,-4.33,-9.26,    3.02,46.52,12.69,1.71,1.71,25.12
"180x90","P1","P0",965,826.00,1.25,3.78,4.99,71.67       ,-3.02,113.26,16.94,42.35,8.01,-41.59,    1.01,72.81,13.01,3.99,3.99,-1.14
"180x90","P1","P0",965,733.00,1.11,3.78,5.02,71.70       ,-5.03,115.28,15.11,44.72,10.05,-43.58,    1.01,76.85,9.05,4.01,4.01,-5.15
